sleep,somnus
unburied,inhumatus
image,
echo,imago
measure,
manner,modus
raise up,attollo
pale,
ghastly,pallidus
marvelous,
wonderful,mirus
transport,
pierce,
cross over,traicio
uncover,
reveal,retego
speed,celero
go out/away,excedo
recommend,suadeo
aid,
help,auxilium
street,via
unclose,
open,recludo
treasure,thesaurus
unknown,ignotus
silver,argentum
weight,pondus
assemble,
agree,convenio
hatred,odium
tyrant,tyrannus
greedy,avarus
leader,
general,dux
woman,
wife,femina
come down,
arrive at,devenio
rise,surgo
exchange merchandise,
traffic,mercor
bottom,
native territory,solum
Byrsa,Byrsa
of bull,taurinus
how great,quantus
surround,circumdo
where,
what purpose,
in order that,quo
journey,iter
breathe from beneath or deeply,
sigh,suspiro
drag,traho
demand back,repeto
proceed,pergo
empty,vaco
an annual chronicle,Annalis
Vesper,
the evening start,Vesper
Olympus,Olympus
chance,
luck,fors
drive to,
bring,appello
(public) enemy,hostis
well–known,notus
10 each,deni
pull violently,
pluck,convello
left over,supersum
destitute,egens
desert places,
wastes,deserta
go through fields or lands,
roam,peragro
Europ(name),Europa
Asia,Asia
drive (off),
strike,pello
complain,queror
speak between,
interrupt,interfor
whoever,
whichever,quisquis
god or goddess,caelestis
vital,
pertaining life,vitalis
pluck,
seize,
criticize,carpo
arrive,advenio
only,
just now,modo
threshold,limen
endure,perfero
led back,
brought back,redux
announce,nuntio
safety,tutum
in vain,frustra
prophecy,augurium
look at,aspicio
6 at time,senus
rejoice,
glad,laetor
swan,cycnus
heavenly,aetherius
tract,
zone,plaga
bird,ales
disturb,turbo
row,ordo
seize,capio
look down upon,despecto
meeting together,
sexual union,coitus
singing or playing,
melody,
song,cantus
otherwise,
differently,aliter
the groin,pubes
full,plenus
lay straight,dirigo
stepping,
step,gressus
rosy,roseus
neck,cervix
flash back,
shine forth,refulgeo
ambrosial,ambrosius
divine,divinus
scent,odor
breathe,spiro
foot,pes
clothing,vestis
flow down,
sail down,defluo
real,
true,verus
walking or advancing,
manner of walking,
walk,incessus
recognize,agnosco
son,natus
so often,totiens
deceptive,
false,falsus
why,cur
return,reddo
bring cause or case against any one,
accuse,incuso
covered,
dark,obscurus
fence in,
enclose,saepio
cloud,nebula
pour around,
encompass,circumfundo
veiling or draping of the person,
an upper garment,amictus
or not,
and not,
